img1,img2,total_votes,entropy,draw_rate
img_00002_patch_0.png,img_00039_patch_2.png,1,0.0,0.0
img_00002_patch_0.png,img_00066_patch_0.png,1,0.0,0.0
img_00002_patch_0.png,img_00206_patch_2.png,1,0.0,0.0
img_00002_patch_0.png,img_00221_patch_7.png,1,0.0,0.0
img_00002_patch_0.png,img_00252_patch_4.png,1,0.0,0.0
img_00002_patch_0.png,img_00312_patch_8.png,1,0.0,0.0
img_00002_patch_0.png,img_00350_patch_5.png,1,0.0,0.0
img_00002_patch_0.png,img_00361_patch_3.png,1,0.0,0.0
img_00002_patch_0.png,img_00429_patch_5.png,1,0.0,0.0
img_00002_patch_0.png,img_00436_patch_0.png,1,0.0,0.0
img_00002_patch_0.png,img_00551_patch_4.png,1,0.0,0.0
img_00002_patch_0.png,img_00595_patch_7.png,1,0.0,0.0
img_00002_patch_0.png,img_00675_patch_3.png,1,0.0,0.0
img_00002_patch_0.png,img_00723_patch_6.png,1,0.0,0.0
img_00002_patch_0.png,img_00747_patch_5.png,1,0.0,0.0
img_00002_patch_1.png,img_00044_patch_4.png,2,0.0,0.0
img_00002_patch_1.png,img_00084_patch_8.png,1,0.0,0.0
img_00002_patch_1.png,img_00223_patch_0.png,1,0.0,0.0
img_00002_patch_1.png,img_00249_patch_4.png,10,0.0,0.0
img_00002_patch_1.png,img_00405_patch_2.png,1,0.0,0.0
img_00002_patch_1.png,img_00543_patch_1.png,1,0.0,0.0
img_00002_patch_1.png,img_00576_patch_5.png,1,0.0,0.0
img_00002_patch_1.png,img_00653_patch_2.png,1,0.0,0.0
img_00002_patch_1.png,img_00655_patch_5.png,1,0.0,0.0
img_00002_patch_1.png,img_00679_patch_7.png,11,0.0,0.0
img_00002_patch_1.png,img_00703_patch_8.png,2,0.0,0.0
img_00002_patch_2.png,img_00152_patch_2.png,2,0.0,0.0
img_00002_patch_2.png,img_00252_patch_2.png,11,0.0,0.0
img_00002_patch_2.png,img_00457_patch_6.png,2,0.0,0.0
img_00002_patch_2.png,img_00469_patch_8.png,11,0.30463609734923813,0.0
